,question,answer
659,What is a direct trustee-to-trustee transfer?,"A direct trustee-to-trustee transfer is an even simpler option for rolling over your 401(k) account, as the process is mostly completed electronically between plan administrators."
660,What is an indirect or 60-day rollover?,"An indirect or 60-day rollover is a riskier method where you request a check from your old employer made out to your name, and then you have 60 days to deposit the remainder into your new company's 401(k) plan to avoid taxes and penalties."
661,What is the drawback of an indirect rollover?,"The drawback of an indirect rollover is that there is a mandatory tax withholding of 20% of the funds for federal taxes, which could push you into a higher tax bracket and must be reported on your tax return."
662,What is the consequence of not depositing the remainder from an indirect rollover within 60 days?,"If you do not deposit the remainder from an indirect rollover within 60 days, you may be subject to taxes on the entire amount and possibly a 10% early withdrawal penalty."
663,What is Form 1099-R?,"Form 1099-R is a tax form issued by the old plan administrator that reports any distributions made from a retirement account, including a 401(k)."
664,What are rollover exceptions in a 401(k) plan?,Rollover exceptions refer to certain parts of a 401(k) plan that may not be eligible for rollovers to another retirement plan.
665,What are some examples of rollover exceptions?,"Some examples of rollover exceptions in a 401(k) plan include required minimum distributions, loans treated as a distribution, hardship distributions, distributions of excess contributions and related earnings, and distributions that are part of a series of substantially equal periodic payments."
666,Can dividends on employer securities be rolled over in a 401(k) plan?,"No, dividends on employer securities are an exception and cannot be rolled over in a 401(k) plan."
667,What is a hardship distribution in a 401(k) plan?,"A hardship distribution in a 401(k) plan refers to a withdrawal made due to an immediate and heavy financial need of the plan participant, such as medical expenses or the purchase of a primary residence."
668,What are the options for rolling over a 401(k) to an IRA?,"Rollovers can be direct, direct trustee-to-trustee transfers, or indirect with the distribution paid to the account owner."
669,Is it necessary to rollover a 401(k) to a new employer's 401(k)?,"No, it is not necessary to rollover a 401(k) to a new employer's 401(k). You can leave the funds in your past employer’s 401(k) if you have at least $5,000 in the account."
670,Can you leave funds in your old 401(k)?,"Yes, you can leave funds in your old 401(k) as long as your old employer will allow it, and the balance is more than $5,000."
671,What is the best option for rolling over a 401(k)?,"Rolling the money over into the new company’s 401(k) plan might be the best option, as the plan is already set up for you, and costs are spread over many plan participants."
